State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Fnl_Snpsht,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_Other,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt ,BHP_New_Enrl,BHP_Renrl ,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
PA,SBM,"285,181","403,138","373,771","311,171","28,685","337,722","75,234","262,488","55,699","206,789",NR,NR,"281,441","1,837","3,764","2,962","6,109","8,995","32,614",$622 ,$184 ,"287,430","131,625",NR,NR,NR,NR,"287,264",$515 ,$131 ,"17,539","24,098","53,593","52,094","64,278","121,759","4,361","157,036","180,686",184,"27,585",82,"12,952","218,890",NR,"9,256","64,730","4,043",NR,NR,NR,NR,"2,092","91,738","154,911","88,981",+,NR,"59,039","87,676","58,601","38,707","48,157","45,542","69,829","2,714","5,338","15,525","12,752","12,958","19,752",790,+,+,+,+,+,+,+,+,+,+,+
RI,SBM,"67,670","103,023","52,529","25,864","12,454","31,174","4,588","26,586","2,357","24,229",NR,NR,"30,450",51,77,136,234,225,1,$455 ,$175 ,"24,758","11,863",NR,NR,NR,NR,"24,714",$354 ,$120 ,"1,479","2,519","5,573","5,693","6,321","8,905",684,"14,421","16,753",56,770,8,"1,024","13,919",NR,149,"12,504","2,744",NR,NR,NR,NR,+,"8,266","12,605","10,037",266,NR,"5,755","7,837","4,927","3,369","3,526","5,760","16,415",661,"1,346","3,256","3,081","3,174","4,240",657,+,+,+,+,+,+,+,+,+,+,+
SC,HC.gov,"192,519","273,841","261,842","221,649","12,508","230,050","54,379","175,671","130,232","45,439","46,923","83,309","22,142","21,851","21,370","13,014","25,154","126,502",17,$583 ,$128 ,"206,089","87,541","6,830","21,383","59,066",262,"205,971",$508 ,$85 ,"19,053","21,956","36,288","36,773","46,214","67,936","1,830","101,035","129,015",386,"8,568",73,"23,407","106,365","2,080","2,997","86,174","7,849","163,635","58,566","40,995","189,055","2,504","117,469","94,746","15,331",+,"9,738","85,826","43,142","35,642","22,743","24,961","7,998","27,372","2,337","2,316","5,960","5,260","5,105","6,245",149,+,+,+,+,+,+,+,+,+,+,+
SD,HC.gov,"24,185","38,476","35,905","31,090","2,663","31,375","5,763","25,612","19,874","5,738","4,870","15,004","2,929","2,817","2,938","1,839","3,776","16,984",92,$698 ,$132 ,"28,579","13,629","2,313","3,876","6,577",863,"28,451",$625 ,$89 ,"4,791","2,786","5,535","5,262","4,514","8,371",116,"14,781","16,594",711,620,13,246,"25,179",205,683,"3,718",805,"28,278","2,292","20,498","10,877",523,"14,995","14,799","1,058",+,933,"8,033","6,107","6,239","4,224","4,736","1,103","3,308",80,282,904,734,533,763,12,+,+,+,+,+,+,+,+,+,+,+
TN,HC.gov,"199,279","282,034","257,956","203,782","25,188","212,052","49,075","162,977","114,456","48,521","55,782","58,674","19,958","19,073","16,393","11,056","21,450","123,544",578,$619 ,$162 ,"182,238","98,344","11,262","28,409","58,308",365,"181,928",$532 ,$101 ,"12,414","17,154","35,416","33,841","43,273","67,790","2,164","96,719","115,333",355,"10,109",77,"15,311","126,670","2,243","3,330","53,957","7,192","168,371","36,489","57,772","154,280",602,"93,272","115,369","2,809",+,"15,034","76,603","44,716","27,330","19,444","19,272","9,653","41,460","1,673","3,468","9,674","8,067","7,959","10,296",323,+,+,+,+,+,+,+,+,+,+,+
TX,HC.gov,"996,098","1,576,277","1,503,206","1,265,674","75,318","1,291,972","354,789","937,183","715,543","221,640","434,007","281,536","128,810","130,073","124,441","88,525","149,236","663,439","7,448",$550 ,$120 ,"1,160,189","718,178","42,743","131,960","539,880","3,595","1,158,417",$479 ,$78 ,"136,627","151,637","183,469","205,322","262,089","320,391","32,437","574,755","717,217","3,713","141,567",553,"61,042","413,716","30,054","22,140","619,187","321,682","602,752","367,538","156,304","1,135,668","7,665","459,801","757,652","66,854",+,"61,140","649,074","220,616","150,681","77,962","72,385","60,114","205,290","26,526","20,275","36,324","36,906","37,579","44,348","3,332",+,+,+,+,+,+,+,+,+,+,+
UT,HC.gov,"119,879","247,339","229,070","200,296","23,581","207,911","38,355","169,556","128,940","40,616","45,110","83,830","23,269","22,698","21,507","12,026","22,595","105,276",540,$405 ,$91 ,"187,350","91,691","9,542","24,962","55,682","1,505","186,984",$349 ,$62 ,"58,524","24,462","36,155","33,824","24,897","28,883","1,166","99,874","108,037","1,291","5,663",552,875,"101,289","2,317","3,296","92,628","14,855","134,302","58,754","33,000","174,911",624,"109,241","95,775","2,271",+,"11,713","59,484","38,457","39,844","24,259","27,109","7,045","32,346","7,899","3,269","7,677","6,143","3,779","3,425",154,+,+,+,+,+,+,+,+,+,+,+
VA,HC.gov,"227,898","353,521","303,047","240,732","58,467","261,943","53,053","208,890","146,882","62,008","53,476","93,406","22,478","21,789","20,886","14,301","29,079","153,373",37,$595 ,$171 ,"219,016","94,515","13,629","38,430","42,155",301,"218,716",$508 ,$100 ,"30,643","23,330","38,690","40,154","49,425","72,916","6,785","119,812","142,131",447,"42,882",152,"22,911","124,629","6,758","6,954","57,210","20,277","209,053","32,613","33,812","228,131","2,287","106,105","104,054","48,183","1,314","23,654","51,418","60,938","51,108","31,009","33,125","10,691","56,708","4,494","4,904","11,470","10,398","10,622","13,535","1,285",+,+,+,+,+,+,+,+,+,+,+
VT,SBM,"31,189","51,936","30,596","22,987","21,337","24,866","2,436","22,430","1,082","21,348",NR,NR,"23,985",-3,-23,-81,77,138,773,"$1,050 ",$461 ,"19,918","7,974",NR,NR,NR,NR,"19,889",$736 ,$294 ,961,"1,990","3,998","4,192","4,943","8,551",231,"11,976","12,889",38,253,6,74,"11,701",NR,+,"12,794",221,NR,NR,NR,NR,243,"7,191","10,430","5,332","1,670",NR,"2,176","6,280","5,061","3,604","3,952","3,793","2,304",117,172,381,370,408,651,205,+,+,+,+,+,+,+,+,+,+,+
WA,SBM,"627,957","1,367,048","277,506","166,709","838,951","222,731","49,224","173,507","34,472","139,035",NR,NR,"185,565","2,466","2,804","2,086","4,134","7,010","18,666",$505 ,$262 ,"135,822","58,564",NR,NR,NR,NR,"135,303",$399 ,$134 ,"15,459","17,789","38,456","38,096","41,570","67,355","4,006","101,353","121,369","1,719","27,237","3,844","4,492","100,634",NR,824,"85,687","10,492",NR,NR,NR,NR,"2,231","110,259","83,810","26,431",+,NR,"19,750","42,605","29,675","20,596","27,823","82,282","63,518","11,095","5,418","13,577","11,211","9,803","11,242","1,172",+,+,+,+,+,+,+,+,+,+,+
